name,elevation
가리산,1050.9
가리왕산,1561.8
가야산,1432.6
가지산 ,1240.9
감악산,674.9
강천산 ,585.8
계룡산,846.5
계방산,1579.1
공작산,887.4
관악산,632.2
구병산,876.3
금산,704.9
금수산,1015.8
금오산,976.5
금정산 ,800.8
깃대봉,367.8
남산,495.1
내변산,459
내연산 ,711.3
내장산,763.5
대둔산,879.1
대암산,1312.6
대야산,931
덕숭산,495.2
덕유산,1614.2
덕항산,1072.9
도락산,965.3
도봉산,740.2
두륜산,700
두타산,1357
마니산,472.1
마이산,687.4
명성산,922
명지산,1252.3
모악산,795.2
무등산,1186.8
무학산,761.4
미륵산 ,458.4
민주지산,1241.7
방장산,733.6
방태산,1445.7
백덕산,1350.1
백암산,741.2
백운산,903
백운산,1222.2
백운산,883.5
북한산,835.6
비슬산,1083.4
삼악산,655.8
서대산,905.3
선운산,334.7
설악산,1708.1
성인봉,986.5
소백산,1439.7
소요산,587.5
속리산,1058.4
신불산,1159.3
연화산,524
오대산,1565.4
오봉산,777.9
용문산,1157.1
용화산,877.8
운문산,1195.1
운악산,934.7
운장산,1125.8
월악산,1095.3
월출산,810.7
유명산,864
응봉산,999.7
장안산,1237.4
재약산,1119.1
적상산,1030.6
점봉산,1426
조계산,887.3
주왕산,722.1
주흘산,1108.4
지리산,1915.4
지리산,399.3
천관산,724.3
천마산,810.3
천성산,920.2
천태산,714.3
청량산,869.7
추월산,731.2
축령산,887.1
치악산,1282
칠갑산,559.7
태백산,1566.7
태화산,1027.5
팔공산,1192.3
팔봉산,328.2
팔영산,606.9
한라산,1947.3
화악산,1468.3
화왕산,757.7
황매산,1113.1
황석산,1192.5
황악산,1111.4
황장산,1078.9
희양산,996.4
